ID,NC_t1,DM_t1,NS_t1,ADD_t1,SUB_t1,CA_t1,NC_t2,DM_t2,NS_t2,ADD_t2,SUB_t2,CA_t2,RMAT,TIME
88,1240.5,2348.92682926829,12,35,30,15,1132.85714285714,2136.07692307692,17,44,19,16,-99,25
89,972.5,1380.61538461538,21,58,56,36,742.274509803922,1118.5,25,60,56,34,45,25
90,1514.11764705882,3246.71052631579,4,41,14,12,-99,-99,-99,-99,-99,-99,24,-99
91,702.509803921569,1377.075,18,40,30,26,590.040816326531,975.947368421053,21,43,40,29,36,28
92,700.916666666667,1542.15384615385,16,27,25,19,-99,-99,-99,-99,-99,-99,-99,-99
93,582.4,1187.55,19,54,48,35,665.5,1176,22,47,50,34,33,14
94,725.877551020408,1753.78378378378,16,46,40,24,801.84,1227.94736842105,16,44,38,22,32,42
96,826.28,1294.82926829268,19,45,43,28,645.411764705882,938.7,15,42,40,19,30,14
97,811.607843137255,2027.26829268293,18,33,35,19,-99,-99,-99,32,30,20,37,-99
98,974,1512,20,47,43,32,-99,-99,-99,-99,-99,-99,36,-99
99,1090.47058823529,1687.35,17,32,39,13,-99,-99,-99,-99,-99,-99,-99,-99
100,985.960784313726,2028.075,10,41,32,12,1393.80392156863,2073.16666666667,9,41,26,11,26,12
101,699.4,1496.92307692308,16,42,45,23,723.32,1505.85365853659,17,41,34,25,32,42
102,533.254901960784,1212.225,23,54,55,37,-99,-99,-99,-99,-99,-99,-99,-99
103,780,1703.56097560976,18,43,37,25,-99,-99,-99,-99,-99,-99,-99,-99
104,1428,2342.5,16,32,30,26,-99,-99,-99,-99,-99,-99,-99,-99
105,788.32,1872.58536585366,23,48,50,30,-99,-99,-99,-99,-99,-99,-99,-99
106,803.877551020408,1526,15,42,36,24,-99,-99,-99,-99,-99,-99,-99,-99
107,987,1699.46341463415,8,43,33,24,-99,-99,-99,-99,-99,-99,-99,-99
108,711.020408163265,1240,13,42,39,14,693.16,992,15,45,38,21,28,12
109,888.078431372549,1392,19,50,42,28,758.5,1561.17073170732,21,52,45,38,32,14
110,1244.5,1929.5,17,46,41,32,-99,-99,-99,-99,-99,-99,46,-99
111,745.702127659574,1984.5,12,44,37,22,-99,-99,-99,-99,-99,-99,-99,-99
112,992.68,1753,9,33,33,27,-99,-99,-99,-99,-99,-99,30,-99
113,595.450980392157,1105.65,23,62,61,37,-99,-99,-99,-99,-99,-99,-99,-99
114,739.96,1453.2,16,54,54,27,802.816326530612,1682.15384615385,17,49,46,10,43,42
115,707,1237.46341463415,19,50,50,29,-99,-99,-99,-99,-99,-99,-99,-99
116,510.823529411765,1225.18421052632,21,62,60,33,-99,-99,-99,-99,-99,-99,49,-99
117,802.88,1472.56097560976,18,46,45,28,-99,-99,-99,-99,-99,-99,36,-99
118,912.6,2303.92105263158,21,48,45,28,-99,-99,-99,-99,-99,-99,51,-99
119,1158.56,1816.21621621622,13,44,37,25,-99,-99,-99,-99,-99,-99,-99,-99
120,765,1854.3,23,55,54,34,-99,-99,-99,-99,-99,-99,39,-99
122,852.681818181818,2034.16216216216,13,37,32,19,1015.04,3063.6,17,43,37,27,31,12
123,599.659574468085,1736.75675675676,12,46,46,30,616.571428571429,1379.53846153846,12,49,48,25,38,41
124,1080,2508,13,32,28,15,-99,-99,-99,-99,-99,-99,-99,-99
125,1248,1768.30769230769,11,30,23,18,-99,-99,-99,-99,-99,-99,-99,-99
126,1213.33333333333,2438.0487804878,14,41,38,15,825.632653061224,1617.55263157895,17,39,39,11,29,14
129,1085.88235294118,1498.5,20,45,42,26,898,2534.34146341463,20,37,49,31,40,42
130,795.918367346939,1253.85365853659,14,41,41,23,790.92,1317.75,18,39,41,20,32,42
131,713.96,1065.75,20,50,40,31,-99,-99,-99,-99,-99,-99,-99,-99
132,1237,1980.46153846154,19,43,38,19,-99,-99,-99,-99,-99,-99,-99,-99
133,686,916.829268292683,21,59,53,29,602.588235294118,1211.85365853659,21,54,58,35,42,14
134,678.039215686275,1032.15,13,51,48,27,698,1324.575,19,45,48,26,-99,14
135,1195.48,1855.17073170732,11,30,24,-99,800.28,1219.07692307692,13,46,28,9,34,14
136,921,1673,21,64,55,36,754,1258,21,66,37,36,42,41
137,735.137254901961,1435.17073170732,19,63,61,32,-99,-99,-99,-99,-99,-99,37,-99
138,661.96,1356.075,18,49,45,30,680.244897959184,966,17,49,46,35,42,41
139,972,2331,14,41,35,23,1041.01960784314,2572.76923076923,15,34,35,22,28,12
140,836.5,1344,21,48,46,31,587.6,1701,21,54,45,32,42,12
141,686.612244897959,1398.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
142,959.450980392157,1569,22,60,49,39,772,1361.325,22,59,61,37,43,14
143,1349.96078431373,1520.4,15,40,28,13,863,1556,19,36,36,20,36,14
144,835.5,1492.5,27,58,60,40,-99,-99,-99,-99,-99,-99,-99,-99
146,821.803921568628,1155.51219512195,22,46,50,35,722.901960784314,1125.15789473684,23,53,54,42,34,42
147,1212.12,2315.775,14,33,33,13,-99,-99,-99,-99,-99,-99,-99,-99
148,540,1276.8,20,53,50,33,-99,-99,-99,-99,-99,-99,-99,-99
149,632.5,1866.23684210526,19,46,47,31,-99,-99,-99,-99,-99,-99,-99,-99
150,1158.04,1725.23076923077,11,35,30,15,-99,-99,-99,-99,-99,-99,24,-99
151,1124.62745098039,1983.21951219512,16,44,33,14,-99,-99,-99,-99,-99,-99,-99,-99
152,923.764705882353,1515.675,13,31,18,12,754.530612244898,1749.825,12,25,26,15,23,42
153,757.56862745098,2303.36842105263,15,34,31,17,-99,-99,-99,-99,-99,-99,34,-99
154,640.5,1810.54054054054,15,52,37,25,614.823529411765,1670.26829268293,13,43,27,13,25,14
155,725.960784313726,1106,22,56,52,34,-99,-99,-99,-99,-99,-99,-99,-99
156,677.04,1702.65789473684,13,35,33,-99,-99,-99,-99,-99,-99,-99,25,-99
157,1082,1927,19,43,47,30,-99,-99,-99,-99,-99,-99,-99,-99
158,643.914893617021,1355.35135135135,17,44,42,21,-99,-99,-99,-99,-99,-99,-99,-99
159,854.127659574468,3091.42105263158,16,32,26,15,-99,-99,-99,-99,-99,-99,-99,-99
160,953,1872.675,19,42,38,22,-99,-99,-99,-99,-99,-99,-99,-99
161,809.5,1672.26315789474,20,54,41,30,570.980392156863,1620.76923076923,19,52,39,35,40,14
162,1150.24,1559.25,4,32,30,4,680.078431372549,1656.23684210526,5,35,29,15,21,12
163,931.921568627451,1562,23,58,53,34,677.5,1407,24,61,55,36,37,14
164,592.392156862745,1184.61538461538,20,58,59,34,713.617021276596,1200.5,20,56,53,28,48,42
165,682.117647058824,1924.65,13,40,32,23,-99,-99,-99,-99,-99,-99,29,-99
166,739.96,1172.325,16,47,44,26,768.326530612245,1044.225,17,49,45,22,37,42
167,779,1226.5,16,51,44,33,807.591836734694,1136.625,20,54,45,30,32,42
168,654.775510204082,1316.7,14,50,43,31,532.235294117647,950.634146341463,11,56,47,32,31,12
