NC,DM,NS,ADD,SUB,CA,NP,SN,AF,BC,AS,PF,Label
1355.05882352941,2700.5,9,26,24,7,2027.779411764705,-1345.44117647059,16.5,18.0,2,0.008136979744577163,1
989.061224489796,2930.05263157895,6,11,18,13,1959.556928034373,-1940.9914070891537,12.0,1.5,-7,0.006123833315747133,1
1092.5,2574.6,14,30,24,16,1833.55,-1482.1,21.0,11.0,6,0.01145319189550326,1
1165.41176470588,2165.625,8,17,17,12,1665.51838235294,-1000.2132352941201,13.5,5.0,0,0.008105584509327388,1
1333.64705882353,2698.76923076923,13,23,37,25,2016.20814479638,-1365.1221719457,24.5,5.0,-14,0.012151523176429927,1
1111.0,2287.5,9,28,26,12,1699.25,-1176.5,18.75,15.0,2,0.011034279829336472,0
1342.5,2542.61538461538,10,25,22,3,1942.55769230769,-1200.1153846153802,15.0,20.5,3,0.007721778384960361,0
1050.83333333333,1852.30769230769,11,27,30,12,1451.57051282051,-801.47435897436,20.0,16.5,-3,0.013778180132040919,0
766.133333333333,1445.02702702703,11,35,32,19,1105.5801801801815,-678.8936936936971,24.25,14.5,3,0.02193418481511478,0
1045.09803921569,1638.0,8,10,35,21,1341.549019607845,-592.90196078431,18.5,1.5,-25,0.013790029085487931,0
592.28,1621.97368421053,14,43,38,22,1107.126842105265,-1029.6936842105301,29.25,18.5,5,0.026419737005363767,0
1093.0612244898,1582.875,19,38,36,21,1337.9681122449,-489.8137755102,28.5,16.0,2,0.021300956083461123,0
956.583333333333,1350.825,13,41,30,21,1153.7041666666664,-394.241666666667,26.25,14.5,11,0.022752799858427028,0
661.44,1180.725,23,39,43,21,921.0825,-519.2849999999999,31.5,20.0,-4,0.03419889097882112,0
1052.0,2284.0,18,45,40,33,1668.0,-1232.0,34.0,9.5,5,0.02038369304556355,0
936.0,2524.30769230769,8,33,33,22,1730.153846153845,-1588.30769230769,24.0,11.0,0,0.01387159879068114,0
732.078431372549,1713.38461538462,4,29,26,12,1222.7315233785844,-981.3061840120711,17.75,15.5,3,0.014516678159203893,1
1040.5,2338.0,15,37,31,24,1689.25,-1297.5,26.75,10.0,6,0.015835429924522717,0
698.36,2509.5,9,34,32,17,1603.93,-1811.1399999999999,23.0,16.0,2,0.014339777920482813,0
644.163265306122,1290.45,20,47,6,21,967.306632653061,-646.2867346938781,23.5,5.5,41,0.02429426120603127,0
757.25,1167.83333333333,15,48,44,30,962.541666666665,-410.5833333333301,34.25,16.0,4,0.03558287520020784,0
757.5,1542.73170731707,18,40,36,28,1150.115853658535,-785.23170731707,30.5,10.0,4,0.026519067538265006,0
1809.80392156863,2945.5,11,32,36,17,2377.6519607843147,-1135.69607843137,24.0,17.0,-4,0.010093992054279943,0
766.0,2341.23076923077,12,31,35,21,1553.615384615385,-1575.23076923077,24.75,12.0,-4,0.015930583750061886,0
975.0,1730.84210526316,13,24,31,20,1352.92105263158,-755.84210526316,22.0,7.5,-7,0.016261111435295933,0
882.0,1596.0,24,50,45,34,1239.0,-714.0,38.25,13.5,5,0.030871670702179176,0
752.5,1684.09756097561,7,37,32,21,1218.2987804878048,-931.5975609756099,24.25,13.5,5,0.01990480528125485,0
955.102040816327,2185.65789473684,9,39,24,24,1570.3799677765833,-1230.5558539205128,24.0,7.5,15,0.0152829254654721,1
870.745098039216,2312.27027027027,18,51,46,24,1591.507684154743,-1441.525172231054,34.75,24.5,5,0.0218346416708983,0
835.5,1937.12195121951,11,28,24,3,1386.3109756097551,-1101.62195121951,16.5,23.0,4,0.011902091442897679,1
931.0,1873.5,20,46,39,27,1402.25,-942.5,33.0,15.5,7,0.023533606703512212,0
569.960784313726,1543.5,18,52,49,35,1056.730392156863,-973.539215686274,38.5,15.5,3,0.03643313401956645,0
718.823529411765,1484.34146341463,7,28,24,4,1101.5824964131975,-765.517934002865,15.75,22.0,4,0.014297612799116465,1
725.739130434783,2360.61538461538,13,43,28,7,1543.1772575250816,-1634.8762541805972,22.75,28.5,15,0.01474231161006482,0
1053.27659574468,3118.5,6,8,17,2,2085.88829787234,-2065.22340425532,8.25,10.5,-9,0.0039551494720092215,1
841.957446808511,1622.25,15,41,27,22,1232.1037234042556,-780.292553191489,26.25,12.0,14,0.021305024488906057,0
1240.5,2348.92682926829,12,35,30,15,1794.713414634145,-1108.42682926829,23.0,17.5,5,0.012815416552000634,1
972.5,1380.61538461538,21,58,56,36,1176.55769230769,-408.11538461538,42.75,21.0,2,0.03633480982658022,0
1514.11764705882,3246.71052631579,4,41,14,12,2380.414086687305,-1732.59287925697,17.75,15.5,27,0.007456685834312855,1
702.509803921569,1377.075,18,40,30,26,1039.7924019607844,-674.5651960784311,28.5,9.0,10,0.02740931742360902,0
700.916666666667,1542.15384615385,16,27,25,19,1121.5352564102586,-841.2371794871831,21.75,7.0,2,0.019393059536635584,1
582.4,1187.55,19,54,48,35,884.9749999999999,-605.15,39.0,16.0,6,0.044069041498347415,0
725.877551020408,1753.78378378378,16,46,40,24,1239.8306674020942,-1027.9062327633721,31.5,19.0,6,0.025406695307839258,0
826.28,1294.82926829268,19,45,43,28,1060.55463414634,-468.5492682926799,33.75,16.0,2,0.03182297159746607,0
811.607843137255,2027.26829268293,18,33,35,19,1419.4380679100925,-1215.660449545675,26.25,15.0,-2,0.018493233761617475,0
974.0,1512.0,20,47,43,32,1243.0,-538.0,35.5,13.0,4,0.028559935639581657,0
1090.47058823529,1687.35,17,32,39,13,1388.910294117645,-596.8794117647099,25.25,22.5,-7,0.018179719818435768,1
985.960784313726,2028.075,10,41,32,12,1507.0178921568631,-1042.114215686274,23.75,24.5,9,0.015759600548609743,0
699.4,1496.92307692308,16,42,45,23,1098.16153846154,-797.5230769230801,31.5,20.5,-3,0.02868430453695333,0
533.254901960784,1212.225,23,54,55,37,872.739950980392,-678.9700980392159,42.25,17.5,-1,0.048410755062305195,1
780.0,1703.56097560976,18,43,37,25,1241.78048780488,-923.5609756097599,30.75,15.0,6,0.024762830711213206,1
1428.0,2342.5,16,32,30,26,1885.25,-914.5,26.0,5.0,2,0.013791274366794854,1
788.32,1872.58536585366,23,48,50,30,1330.45268292683,-1084.2653658536601,37.75,19.0,-2,0.02837380125158206,1
803.877551020408,1526.0,15,42,36,24,1164.9387755102039,-722.122448979592,29.25,15.0,6,0.02510861567569462,1
987.0,1699.46341463415,8,43,33,24,1343.231707317075,-712.46341463415,27.0,14.0,10,0.02010077624948928,1
711.020408163265,1240.0,13,42,39,14,975.5102040816325,-528.979591836735,27.0,26.5,3,0.02767782426778243,0
888.078431372549,1392.0,19,50,42,28,1140.0392156862745,-503.92156862745105,34.75,18.0,8,0.030481407588318257,0
