NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
731.058823529412,1907.41463414634,17.0,48.0,45.0,28.0,1,1319.236728837876,-1176.355810616928,34.5,18.5,3.0,0.026151485359542
1759.4223897058828,2940.0,11.0,19.0,22.0,10.0,1,2349.7111948529414,-1180.5776102941172,15.5,10.5,-3.0,0.0065965553698455
999.5,2026.5,12.0,27.0,25.0,8.0,1,1513.0,-1027.0,18.0,18.0,2.0,0.0118968935888883
1040.5,2338.0,15.0,37.0,31.0,24.0,0,1689.25,-1297.5,26.75,10.0,6.0,0.0158354299245133
667.843137254902,1715.36842105263,20.0,46.0,42.0,31.0,0,1191.605779153766,-1047.5252837977282,34.75,13.0,4.0,0.0291623291930062
1363.375,2977.90243902439,6.0,18.0,11.0,4.0,1,2170.638719512195,-1614.52743902439,9.75,10.5,7.0,0.0044917654478155
889.5,2228.56097560976,13.0,33.0,31.0,14.0,0,1559.03048780488,-1339.06097560976,22.75,18.0,2.0,0.0145924022512333
1759.4223897058828,2575.0,7.0,15.0,15.0,8.0,1,2167.2111948529414,-815.5776102941172,11.25,7.0,0.0,0.005191003085769
891.28,1941.21951219512,14.0,26.0,29.0,22.0,0,1416.2497560975598,-1049.93951219512,22.75,5.5,-3.0,0.0160635508687895
766.0,2341.23076923077,12.0,31.0,34.0,21.0,1,1553.615384615385,-1575.23076923077,24.5,11.5,-3.0,0.0157696687626773
799.24,1123.5,22.0,64.0,53.0,39.0,0,961.37,-324.26,44.5,19.5,11.0,0.0462881096767672
1069.56862745098,2170.0,9.0,30.0,32.0,17.0,0,1619.78431372549,-1100.43137254902,22.0,14.0,-2.0,0.0135820552239986
776.941176470588,1430.0487804878,19.0,37.0,38.0,23.0,0,1103.494978479194,-653.1076040172121,29.25,14.5,-1.0,0.0265066906242609
1275.59183673469,2875.0,15.0,39.0,37.0,23.0,0,2075.295918367345,-1599.40816326531,28.5,15.0,2.0,0.0137329812812466
1158.04,1725.23076923077,11.0,35.0,30.0,15.0,1,1441.635384615385,-567.19076923077,22.75,17.5,5.0,0.0157806892385994
