NC,DM,NS,ADD,SUB,CA,Label,NP,SN,AF,BC,AS,PF
1710.46808510638,3418.39024390244,4.0,19.0,19.0,13.0,1,2564.42916450441,-1707.92215879606,13.75,6.0,0.0,0.0053618170430735
1275.59183673469,2150.16666666667,14.0,35.0,26.0,21.0,1,1712.87925170068,-874.57482993198,24.0,9.5,9.0,0.0140114955424656
780.0,1703.56097560976,18.0,43.0,37.0,25.0,1,1241.78048780488,-923.56097560976,30.75,15.0,6.0,0.0247628307111932
1251.05882352941,2636.78048780488,16.0,42.0,33.0,23.0,0,1943.919655667145,-1385.7216642754702,28.5,14.5,9.0,0.0146610997614529
1253.5,2338.0,16.0,45.0,46.0,25.0,0,1795.75,-1084.5,33.0,20.5,-1.0,0.0183767228177539
612.326530612245,1454.0,20.0,56.0,58.0,32.0,0,1033.1632653061224,-841.673469387755,41.5,25.0,-2.0,0.040167901234529
951.294117647059,2147.12195121951,17.0,41.0,37.0,29.0,0,1549.2080344332844,-1195.8278335724508,31.0,10.0,4.0,0.0200102241345011
731.64,1041.80487804878,21.0,62.0,54.0,34.0,0,886.72243902439,-310.16487804878,42.75,24.0,8.0,0.0482112531707071
836.5,1344.0,21.0,48.0,46.0,31.0,0,1090.25,-507.5,36.5,16.0,2.0,0.0334785599632804
1040.0,2132.55,13.0,30.0,29.0,21.0,1,1586.275,-1092.5500000000002,23.25,8.5,1.0,0.0146569794014186
1052.0,2284.0,18.0,45.0,40.0,33.0,0,1668.0,-1232.0,34.0,9.5,5.0,0.0203836930455513
654.775510204082,1316.7,14.0,50.0,43.0,31.0,0,985.7377551020412,-661.924489795918,34.5,15.5,7.0,0.0349991666864719
929.882352941176,2242.15384615385,12.0,38.0,22.0,13.0,0,1586.018099547513,-1312.2714932126737,21.25,17.0,16.0,0.0133983338563722
822.12,1555.05,13.0,38.0,33.0,19.0,1,1188.585,-732.93,25.75,16.5,5.0,0.0216644160913845
632.5,1866.23684210526,19.0,46.0,47.0,31.0,1,1249.36842105263,-1233.73684210526,35.75,15.5,-1.0,0.0286144578313024
1237.0,1980.46153846154,19.0,43.0,38.0,19.0,1,1608.73076923077,-743.4615384615399,29.75,21.5,5.0,0.018492839553387
1126.5,1932.0,16.0,36.0,33.0,20.0,1,1529.25,-805.5,26.25,14.5,3.0,0.0171652770966047
1080.27450980392,2822.0,9.0,21.0,14.0,11.0,1,1951.13725490196,-1741.72549019608,13.75,6.5,7.0,0.0070471720866627
810.588235294118,1622.775,20.0,43.0,43.0,27.0,0,1216.681617647059,-812.1867647058821,33.25,16.0,0.0,0.0273284312984648
1087.75510204082,2597.53846153846,12.0,28.0,24.0,11.0,1,1842.64678178964,-1509.78335949764,18.75,15.0,4.0,0.010175580141181
1739.5035714285718,3624.46875,3.0,11.0,4.0,21.0,1,2681.9861607142857,-1884.965178571428,9.75,-13.5,7.0,0.0036353655148614
872.04,1738.02631578947,17.0,45.0,17.0,14.0,0,1305.0331578947348,-865.9863157894699,23.25,17.0,28.0,0.0178156392880383
733.098039215686,1722.0,13.0,36.0,29.0,15.0,1,1227.549019607843,-988.901960784314,23.25,17.5,7.0,0.01894018049675
612.56,1902.92307692308,17.0,27.0,29.0,5.0,0,1257.74153846154,-1290.36307692308,19.5,23.0,-2.0,0.0155039802723195
815.686274509804,2124.0,20.0,47.0,47.0,21.0,0,1469.843137254902,-1308.313725490196,33.75,26.0,0.0,0.0229616338944909
1040.5,2338.0,15.0,37.0,31.0,24.0,0,1689.25,-1297.5,26.75,10.0,6.0,0.0158354299245133
1246.98039215686,2661.0,10.0,19.0,28.0,12.0,1,1953.99019607843,-1414.01960784314,17.25,11.5,-9.0,0.0088280893295222
999.5,2026.5,12.0,27.0,25.0,8.0,1,1513.0,-1027.0,18.0,18.0,2.0,0.0118968935888883
901.0,1958.25,12.0,30.0,30.0,23.0,1,1429.625,-1057.25,23.75,7.0,0.0,0.0166127480982659
592.392156862745,1184.61538461538,20.0,58.0,59.0,34.0,0,888.5037707390625,-592.223227752635,42.75,24.5,-1.0,0.0481145960296737
944.5,2686.83333333333,15.0,20.0,23.0,18.0,1,1815.666666666665,-1742.3333333333298,19.0,3.5,-3.0,0.0104644758582648
1664.0,4025.026315789472,8.0,7.0,35.0,21.0,0,2844.513157894736,-2361.0263157894724,17.75,0.0,-28.0,0.0062400836328459
739.96,1172.325,16.0,47.0,44.0,26.0,0,956.1425,-432.365,33.25,19.5,3.0,0.0347751511934311
739.21568627451,1442.175,22.0,61.0,52.0,30.0,1,1090.695343137255,-702.95931372549,41.25,26.5,9.0,0.0378199102613856
1124.62745098039,1983.21951219512,16.0,44.0,33.0,14.0,1,1553.9234815877548,-858.5920612147299,26.75,24.5,11.0,0.0172144898490435
888.078431372549,1392.0,19.0,50.0,42.0,28.0,0,1140.0392156862745,-503.9215686274511,34.75,18.0,8.0,0.0304814075882915
1495.76470588235,3014.78048780488,3.0,15.0,4.0,21.0,1,2255.2725968436152,-1519.01578192253,10.75,-11.5,11.0,0.0047666078216178
1073.5,2352.0,12.0,47.0,38.0,21.0,0,1712.75,-1278.5,29.5,21.5,9.0,0.0172237629543031
654.588235294118,1228.5,22.0,58.0,47.0,36.0,1,941.544117647059,-573.911764705882,40.75,16.5,11.0,0.0432799687621562
776.68085106383,1667.53125,8.0,48.0,8.0,6.0,0,1222.1060505319151,-890.85039893617,17.5,22.0,40.0,0.0143195428844893
1163.37254901961,2585.56097560976,22.0,66.0,51.0,39.0,0,1874.4667623146847,-1422.18842659015,44.5,19.5,15.0,0.0237400848575332
1601.16666666667,4025.026315789472,4.0,19.0,18.0,10.0,1,2813.096491228071,-2423.8596491228027,12.75,8.5,1.0,0.0045323720817089
979.843137254902,1961.4,20.0,42.0,46.0,27.0,0,1470.621568627451,-981.556862745098,33.75,17.0,-4.0,0.0229494798117753
661.44,1180.725,23.0,39.0,43.0,21.0,0,921.0825,-519.2849999999999,31.5,20.0,-4.0,0.0341988909787839
1213.33333333333,3478.46153846154,15.0,12.0,2.0,7.0,1,2345.897435897435,-2265.1282051282096,9.0,0.0,10.0,0.0038364848617318
599.659574468085,1736.75675675676,12.0,46.0,46.0,30.0,0,1168.2081656124226,-1137.097182288675,33.5,16.0,0.0,0.0286763960277655
793.52,1173.0,22.0,58.0,62.0,32.0,0,983.26,-379.48,43.5,28.0,-4.0,0.0442405874335941
852.681818181818,2034.16216216216,13.0,37.0,32.0,19.0,0,1443.421990171989,-1181.480343980342,25.25,15.5,5.0,0.017493151810008
802.88,1472.56097560976,18.0,46.0,45.0,28.0,0,1137.72048780488,-669.6809756097599,34.25,17.5,1.0,0.0301040548773556
1029.29411764706,2998.8,12.0,45.0,23.0,10.0,1,2014.04705882353,-1969.5058823529405,22.5,24.0,22.0,0.0111715363856154
870.235294117647,1762.2972972973,14.0,40.0,4.0,21.0,1,1316.2662957074735,-892.0620031796531,19.75,1.0,36.0,0.0150045625755156
955.102040816327,2185.65789473684,9.0,39.0,24.0,24.0,1,1570.3799677765833,-1230.5558539205128,24.0,7.5,15.0,0.0152829254654623
595.4,1818.0,19.0,49.0,51.0,36.0,0,1206.7,-1222.6,38.75,14.0,-2.0,0.032112372586366
614.791666666667,1841.92105263158,16.0,39.0,42.0,19.0,0,1228.3563596491235,-1227.1293859649131,29.0,21.5,-3.0,0.0236087840244179
1250.6,1935.07317073171,19.0,26.0,46.0,30.0,1,1592.836585365855,-684.4731707317101,30.25,6.0,-20.0,0.0189912764924551
788.32,1872.58536585366,23.0,48.0,50.0,30.0,1,1330.45268292683,-1084.26536585366,37.75,19.0,-2.0,0.0283738012515607
1264.0,2451.0,11.0,26.0,28.0,21.0,0,1857.5,-1187.0,21.5,6.0,-2.0,0.0115746971736142
972.5,1380.61538461538,21.0,58.0,56.0,36.0,0,1176.55769230769,-408.11538461538,42.75,21.0,2.0,0.0363348098265493
997.176470588235,3266.78048780488,13.0,24.0,28.0,14.0,1,2131.9784791965576,-2269.604017216645,19.75,12.0,-4.0,0.009263695760866
1739.5035714285718,4025.026315789472,13.0,16.0,12.0,12.0,1,2882.2649436090223,-2285.522744360901,13.25,2.0,4.0,0.004597079123269
898.56,2013.45454545455,18.0,36.0,38.0,19.0,1,1456.007272727275,-1114.89454545455,27.75,18.0,-2.0,0.0190589707343987
1053.0,1370.92307692308,17.0,51.0,50.0,18.0,0,1211.96153846154,-317.9230769230801,34.0,32.5,1.0,0.0280536955348693
865.5,1490.46153846154,18.0,46.0,36.0,19.0,0,1177.98076923077,-624.9615384615399,29.75,22.0,10.0,0.0252550812178383
757.5,1542.73170731707,18.0,40.0,36.0,28.0,0,1150.115853658535,-785.23170731707,30.5,10.0,4.0,0.0265190675382419
968.76,2536.0,18.0,49.0,53.0,31.0,0,1752.38,-1567.24,37.75,20.0,-4.0,0.0215421312728851
745.702127659574,1984.5,12.0,44.0,37.0,22.0,1,1365.101063829787,-1238.797872340426,28.75,18.5,7.0,0.0210607117390421
540.0,1276.8,20.0,53.0,50.0,33.0,1,908.4,-736.8,39.0,18.5,3.0,0.0429326287978391
838.367346938776,2254.35,22.0,52.0,54.0,30.0,0,1546.358673469388,-1415.982653061224,39.5,23.0,-2.0,0.0255438797464451
986.980392156863,4025.026315789472,10.0,23.0,11.0,6.0,1,2506.003353973168,-3038.0459236326096,12.5,11.0,12.0,0.0049880220551886
766.133333333333,1445.02702702703,11.0,35.0,32.0,19.0,0,1105.5801801801815,-678.8936936936971,24.25,14.5,3.0,0.0219341848150949
759.958333333333,2045.64705882353,15.0,37.0,24.0,22.0,0,1402.8026960784314,-1285.688725490197,24.5,8.5,13.0,0.0174650362937516
835.5,1492.5,27.0,58.0,60.0,40.0,1,1164.0,-657.0,46.25,19.0,-2.0,0.0397336769759108
795.918367346939,1253.85365853659,14.0,41.0,41.0,23.0,0,1024.8860129417644,-457.935291189651,29.75,18.0,0.0,0.0290276183149173
